projectid,projectstateid,clientid,providerid,disciplineid,tierid,projectname,projectgoals,projectdescription,uploadlocation,attributesknowledge,startbydatetime,deadlinedatetime,minyears,maxyears,interactionfrequency,filterbyindustry,budgetcurrency,budget,hours,effectivehourlyrate,advertisementdatetime,createddate,updateddate,deleteddate,qualityofwork,timeliness,responsiveness,professionalism,likeability,knowledge,attentiontodetail
1,2,1,3,5,1,send emails,gain more repeat customers,send vouchers to existing customers,Upload URL - aws,needs a comprehensive understanding of email systems,2014-Sep-01 00:00:00 +0000,2014-Oct-01 00:00:00 +0000,1,5,once a week,f,usd,1000.00,10,100.00,2014-Aug-25 00:00:00 +0000,,,,6,8,7,8,7,8,7
2,2,13,4,1,1,,,,,,,2014-Apr-13 00:00:00 +0000,,,,,,,,,,,,,8,8,7,6,4,8,5
3,2,13,4,1,1,,,,,,,2014-May-06 00:00:00 +0000,,,,,,,,,,,,,7,5,6,9,6,8,8
4,2,5,4,1,1,,,,,,,2014-Jul-21 00:00:00 +0000,,,,,,,,,,,,,7,7,6,9,8,8,5
5,2,20,4,1,1,,,,,,,2014-Jul-16 00:00:00 +0000,,,,,,,,,,,,,8,8,6,7,8,7,9
6,2,4,4,1,1,,,,,,,2014-Aug-04 00:00:00 +0000,,,,,,,,,,,,,6,7,7,8,8,4,6
7,2,10,4,1,1,,,,,,,2014-Apr-02 00:00:00 +0000,,,,,,,,,,,,,8,4,8,8,8,5,5
8,2,20,4,1,1,,,,,,,2014-Aug-12 00:00:00 +0000,,,,,,,,,,,,,9,9,4,4,6,4,5
9,2,12,4,1,1,,,,,,,2014-Mar-18 00:00:00 +0000,,,,,,,,,,,,,7,7,9,6,5,9,8
10,2,8,4,1,1,,,,,,,2014-Aug-18 00:00:00 +0000,,,,,,,,,,,,,8,4,5,4,5,5,8
11,2,5,4,1,1,,,,,,,2014-Mar-19 00:00:00 +0000,,,,,,,,,,,,,7,7,6,8,7,6,7
12,2,9,4,1,1,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,9,4,9,9,8,9,8
13,2,11,4,1,1,,,,,,,2014-Jul-07 00:00:00 +0000,,,,,,,,,,,,,4,5,5,4,9,6,6
14,2,14,4,1,1,,,,,,,2014-Jan-12 00:00:00 +0000,,,,,,,,,,,,,4,6,8,7,4,5,8
15,2,2,4,1,1,,,,,,,2014-May-30 00:00:00 +0000,,,,,,,,,,,,,6,8,7,7,5,4,5
16,2,3,4,1,1,,,,,,,2014-Aug-16 00:00:00 +0000,,,,,,,,,,,,,5,7,4,8,4,6,5
17,2,10,4,1,1,,,,,,,2014-Jul-26 00:00:00 +0000,,,,,,,,,,,,,7,4,5,6,6,6,5
18,2,11,4,1,1,,,,,,,2014-Jul-16 00:00:00 +0000,,,,,,,,,,,,,4,8,4,7,9,5,4
19,2,16,4,1,1,,,,,,,2014-Apr-12 00:00:00 +0000,,,,,,,,,,,,,9,5,9,6,5,5,6
20,2,8,4,1,1,,,,,,,2014-Jul-31 00:00:00 +0000,,,,,,,,,,,,,8,6,9,7,6,6,8
21,2,6,4,1,1,,,,,,,2014-Jun-08 00:00:00 +0000,,,,,,,,,,,,,4,7,7,9,5,7,6
22,2,11,5,1,1,,,,,,,2014-Aug-27 00:00:00 +0000,,,,,,,,,,,,,4,9,8,6,7,8,4
23,2,11,5,1,1,,,,,,,2014-Jan-01 00:00:00 +0000,,,,,,,,,,,,,7,4,6,8,5,8,5
24,2,14,5,1,1,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,8,5,4,4,6,6,4
25,2,13,5,1,1,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,7,5,7,4,5,4,6
26,2,13,5,1,1,,,,,,,2014-Jan-10 00:00:00 +0000,,,,,,,,,,,,,8,4,6,9,8,4,6
27,2,13,5,1,1,,,,,,,2014-Aug-21 00:00:00 +0000,,,,,,,,,,,,,6,8,4,8,9,5,4
28,2,20,5,1,1,,,,,,,2014-Jun-05 00:00:00 +0000,,,,,,,,,,,,,7,4,6,5,5,6,7
29,2,13,5,1,1,,,,,,,2014-Jun-22 00:00:00 +0000,,,,,,,,,,,,,7,8,9,5,4,9,5
30,2,8,5,1,1,,,,,,,2014-Aug-25 00:00:00 +0000,,,,,,,,,,,,,8,4,4,4,9,8,9
31,2,3,5,1,1,,,,,,,2014-Aug-14 00:00:00 +0000,,,,,,,,,,,,,6,7,7,7,7,5,8
32,2,2,5,1,1,,,,,,,2014-Jul-15 00:00:00 +0000,,,,,,,,,,,,,8,7,6,5,8,6,5
33,2,6,5,1,1,,,,,,,2014-Apr-23 00:00:00 +0000,,,,,,,,,,,,,5,6,6,8,4,8,5
34,2,20,5,1,1,,,,,,,2014-Feb-27 00:00:00 +0000,,,,,,,,,,,,,5,8,5,8,9,4,5
35,2,20,5,1,1,,,,,,,2014-May-16 00:00:00 +0000,,,,,,,,,,,,,8,8,7,7,7,4,9
36,2,8,5,1,1,,,,,,,2014-Aug-08 00:00:00 +0000,,,,,,,,,,,,,4,7,4,6,6,6,4
37,2,9,5,1,1,,,,,,,2014-Apr-03 00:00:00 +0000,,,,,,,,,,,,,5,7,4,8,8,6,5
38,2,11,5,1,1,,,,,,,2014-Jul-27 00:00:00 +0000,,,,,,,,,,,,,6,4,7,7,8,4,8
39,2,16,5,1,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,7,8,8,6,4,4,6
40,2,18,5,1,1,,,,,,,2014-Feb-05 00:00:00 +0000,,,,,,,,,,,,,8,4,6,6,4,7,4
41,2,6,5,1,1,,,,,,,2014-Jul-08 00:00:00 +0000,,,,,,,,,,,,,9,7,4,8,7,4,6
42,2,10,6,1,1,,,,,,,2014-Mar-02 00:00:00 +0000,,,,,,,,,,,,,5,9,5,8,4,9,6
43,2,7,6,1,1,,,,,,,2014-Feb-13 00:00:00 +0000,,,,,,,,,,,,,4,9,6,9,5,8,6
44,2,3,6,1,1,,,,,,,2014-Feb-12 00:00:00 +0000,,,,,,,,,,,,,7,6,6,4,7,7,6
45,2,13,6,1,1,,,,,,,2014-Jun-27 00:00:00 +0000,,,,,,,,,,,,,8,8,5,6,6,5,5
46,2,5,6,1,1,,,,,,,2014-May-11 00:00:00 +0000,,,,,,,,,,,,,5,6,4,4,5,5,7
47,2,15,6,1,1,,,,,,,2014-May-28 00:00:00 +0000,,,,,,,,,,,,,9,7,8,8,6,8,4
48,2,2,6,1,1,,,,,,,2014-Jun-17 00:00:00 +0000,,,,,,,,,,,,,7,4,5,4,5,6,5
49,2,2,6,1,1,,,,,,,2014-Mar-08 00:00:00 +0000,,,,,,,,,,,,,7,6,4,8,8,5,5
50,2,14,6,1,1,,,,,,,2014-Aug-15 00:00:00 +0000,,,,,,,,,,,,,4,7,7,8,5,4,5
51,2,15,6,1,1,,,,,,,2014-Feb-18 00:00:00 +0000,,,,,,,,,,,,,7,8,7,8,4,6,5
52,2,17,6,1,1,,,,,,,2014-May-18 00:00:00 +0000,,,,,,,,,,,,,9,7,4,4,5,8,4
53,2,2,6,1,1,,,,,,,2014-Aug-11 00:00:00 +0000,,,,,,,,,,,,,8,7,8,5,5,6,4
54,2,14,6,1,1,,,,,,,2014-Aug-03 00:00:00 +0000,,,,,,,,,,,,,8,6,9,8,5,6,6
55,2,8,6,1,1,,,,,,,2014-Apr-29 00:00:00 +0000,,,,,,,,,,,,,9,9,5,4,9,4,6
56,2,6,6,1,1,,,,,,,2014-Apr-17 00:00:00 +0000,,,,,,,,,,,,,7,8,4,8,4,5,9
57,2,16,6,1,1,,,,,,,2014-Aug-27 00:00:00 +0000,,,,,,,,,,,,,5,6,8,6,8,9,6
58,2,8,6,1,1,,,,,,,2014-Jun-28 00:00:00 +0000,,,,,,,,,,,,,7,7,4,5,6,9,6
59,2,18,6,1,1,,,,,,,2014-Apr-14 00:00:00 +0000,,,,,,,,,,,,,4,4,4,8,8,7,5
60,2,7,6,1,1,,,,,,,2014-Mar-25 00:00:00 +0000,,,,,,,,,,,,,4,6,9,4,5,7,5
61,2,11,6,1,1,,,,,,,2014-Mar-08 00:00:00 +0000,,,,,,,,,,,,,8,4,5,7,6,7,6
62,2,11,7,1,1,,,,,,,2014-Mar-10 00:00:00 +0000,,,,,,,,,,,,,8,8,4,8,4,8,9
63,2,16,7,1,1,,,,,,,2014-Jun-12 00:00:00 +0000,,,,,,,,,,,,,4,8,4,8,5,5,7
64,2,10,7,1,1,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,5,8,7,5,5,5,7
65,2,7,7,1,1,,,,,,,2014-Aug-23 00:00:00 +0000,,,,,,,,,,,,,5,6,8,5,8,5,7
66,2,18,7,1,1,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,6,5,8,6,7,5,7
67,2,7,7,1,1,,,,,,,2014-May-05 00:00:00 +0000,,,,,,,,,,,,,4,8,7,6,6,4,7
68,2,16,7,1,1,,,,,,,2014-Jul-10 00:00:00 +0000,,,,,,,,,,,,,6,5,9,4,8,6,7
69,2,11,7,1,1,,,,,,,2014-Jan-27 00:00:00 +0000,,,,,,,,,,,,,4,8,9,6,4,5,7
70,2,16,7,1,1,,,,,,,2014-Mar-08 00:00:00 +0000,,,,,,,,,,,,,6,6,4,6,7,4,7
71,2,8,7,1,1,,,,,,,2014-Feb-04 00:00:00 +0000,,,,,,,,,,,,,8,8,5,8,4,8,5
72,2,2,7,1,1,,,,,,,2014-Apr-14 00:00:00 +0000,,,,,,,,,,,,,7,6,5,8,5,6,6
73,2,9,7,1,1,,,,,,,2014-Aug-01 00:00:00 +0000,,,,,,,,,,,,,8,7,5,4,9,6,7
74,2,16,7,1,1,,,,,,,2014-Jan-03 00:00:00 +0000,,,,,,,,,,,,,8,4,7,7,7,7,6
75,2,3,7,1,1,,,,,,,2014-Feb-23 00:00:00 +0000,,,,,,,,,,,,,8,4,4,7,7,4,5
76,2,17,7,1,1,,,,,,,2014-Apr-25 00:00:00 +0000,,,,,,,,,,,,,4,4,5,8,4,7,4
77,2,8,7,1,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,8,7,9,7,7,9,6
78,2,2,7,1,1,,,,,,,2014-Jul-16 00:00:00 +0000,,,,,,,,,,,,,4,8,6,5,4,4,4
79,2,15,7,1,1,,,,,,,2014-Jun-26 00:00:00 +0000,,,,,,,,,,,,,8,4,8,6,5,9,5
80,2,13,7,1,1,,,,,,,2014-Apr-19 00:00:00 +0000,,,,,,,,,,,,,8,4,8,9,6,7,6
81,2,11,7,1,1,,,,,,,2014-Jan-16 00:00:00 +0000,,,,,,,,,,,,,7,7,9,6,5,6,7
82,2,11,8,1,1,,,,,,,2014-Mar-07 00:00:00 +0000,,,,,,,,,,,,,5,6,4,8,9,6,8
83,2,8,8,1,1,,,,,,,2014-Jun-25 00:00:00 +0000,,,,,,,,,,,,,9,8,5,6,7,4,7
84,2,14,8,1,1,,,,,,,2014-Jun-26 00:00:00 +0000,,,,,,,,,,,,,5,9,6,6,5,4,4
85,2,7,8,1,1,,,,,,,2014-Mar-18 00:00:00 +0000,,,,,,,,,,,,,4,5,5,4,4,9,7
86,2,19,8,1,1,,,,,,,2014-Apr-09 00:00:00 +0000,,,,,,,,,,,,,5,8,4,6,8,7,7
87,2,3,8,1,1,,,,,,,2014-Apr-13 00:00:00 +0000,,,,,,,,,,,,,6,9,6,4,7,6,7
88,2,3,8,1,1,,,,,,,2014-Aug-02 00:00:00 +0000,,,,,,,,,,,,,7,6,5,6,5,6,8
89,2,11,8,1,1,,,,,,,2014-Mar-10 00:00:00 +0000,,,,,,,,,,,,,9,4,5,6,7,4,5
90,2,9,8,1,1,,,,,,,2014-Feb-16 00:00:00 +0000,,,,,,,,,,,,,9,7,4,6,6,6,8
91,2,14,8,1,1,,,,,,,2014-Apr-18 00:00:00 +0000,,,,,,,,,,,,,6,7,9,9,9,7,4
92,2,9,8,1,1,,,,,,,2014-Aug-15 00:00:00 +0000,,,,,,,,,,,,,9,4,5,6,6,6,7
93,2,6,8,1,1,,,,,,,2014-May-09 00:00:00 +0000,,,,,,,,,,,,,9,7,5,8,4,6,6
94,2,17,8,1,1,,,,,,,2014-Mar-01 00:00:00 +0000,,,,,,,,,,,,,9,4,5,7,7,8,9
95,2,10,8,1,1,,,,,,,2014-Jul-11 00:00:00 +0000,,,,,,,,,,,,,4,9,4,9,8,6,6
96,2,2,8,1,1,,,,,,,2014-Jan-24 00:00:00 +0000,,,,,,,,,,,,,9,8,7,4,9,6,8
97,2,5,8,1,1,,,,,,,2014-Apr-07 00:00:00 +0000,,,,,,,,,,,,,5,5,9,9,4,6,8
98,2,3,8,1,1,,,,,,,2014-Jul-06 00:00:00 +0000,,,,,,,,,,,,,4,9,6,4,6,7,5
99,2,12,8,1,1,,,,,,,2014-Feb-21 00:00:00 +0000,,,,,,,,,,,,,4,4,4,4,4,7,7
100,2,17,8,1,1,,,,,,,2014-Jun-25 00:00:00 +0000,,,,,,,,,,,,,8,6,7,4,9,4,6
101,2,14,8,1,1,,,,,,,2014-Jul-09 00:00:00 +0000,,,,,,,,,,,,,6,5,9,7,8,5,8
102,2,7,9,1,1,,,,,,,2014-Jun-09 00:00:00 +0000,,,,,,,,,,,,,4,7,7,4,5,4,7
103,2,6,9,1,1,,,,,,,2014-Jul-31 00:00:00 +0000,,,,,,,,,,,,,4,7,7,6,5,8,7
